# eps=0 u'(0)=0
0.321471 0.842019
0.322017 0.84176
0.322564 0.8415
0.323111 0.841241
0.323657 0.840982
0.324204 0.840723
0.32475 0.840464
0.325296 0.840205
0.325843 0.839946
0.326389 0.839688
0.326935 0.839429
0.327482 0.83917
0.328028 0.838912
0.328574 0.838653
0.32912 0.838395
0.329666 0.838137
0.330212 0.837878
0.330758 0.83762
0.331304 0.837362
0.331849 0.837104
0.332395 0.836846
0.332941 0.836588
0.333486 0.83633
0.334032 0.836073
0.334578 0.835815
0.335123 0.835557
0.335669 0.8353
0.336214 0.835042
0.336759 0.834785
0.337305 0.834528
0.33785 0.83427
0.338395 0.834013
0.33894 0.833756
0.339485 0.833499
0.34003 0.833242
0.340575 0.832985
0.34112 0.832728
0.341665 0.832472
0.34221 0.832215
0.342755 0.831959
0.3433 0.831702
0.343844 0.831446
0.344389 0.831189
0.344934 0.830933
0.345478 0.830677
0.346023 0.830421
0.346567 0.830164
0.347111 0.829908
0.347656 0.829653
0.3482 0.829397
0.348744 0.829141
0.349289 0.828885
0.349833 0.82863
0.350377 0.828374
0.350921 0.828119
0.351465 0.827863
0.352009 0.827608
0.352553 0.827353
0.353097 0.827097
0.35364 0.826842
0.354184 0.826587
0.354728 0.826332
0.355272 0.826077
0.355815 0.825823
0.356359 0.825568
0.356902 0.825313
0.357446 0.825059
0.357989 0.824804
0.358532 0.82455
0.359076 0.824295
0.359619 0.824041
0.360162 0.823787
0.360705 0.823533
0.361249 0.823279
0.361792 0.823025
0.362335 0.822771
0.362878 0.822517
0.36342 0.822263
0.363963 0.82201
0.364506 0.821756
0.365049 0.821503
0.365592 0.821249
0.366134 0.820996
0.366677 0.820742
0.367219 0.820489
0.367762 0.820236
0.368304 0.819983
0.368847 0.81973
0.369389 0.819477
0.369931 0.819224
0.370474 0.818971
0.371016 0.818719
0.371558 0.818466
0.3721 0.818214
0.372642 0.817961
0.373184 0.817709
0.373726 0.817456
0.374268 0.817204
0.37481 0.816952
0.375352 0.8167
0.375894 0.816448
0.376435 0.816196
0.376977 0.815944
0.377519 0.815693
0.37806 0.815441
0.378602 0.815189
0.379143 0.814938
0.379685 0.814686
0.380226 0.814435
0.380767 0.814184
0.381308 0.813932
0.38185 0.813681
0.382391 0.81343
0.382932 0.813179
0.383473 0.812928
0.384014 0.812677
0.384555 0.812427
0.385096 0.812176
0.385637 0.811925
0.386178 0.811675
0.386718 0.811424
0.387259 0.811174
0.3878 0.810924
0.38834 0.810674
0.388881 0.810423
0.389421 0.810173
0.389962 0.809923
0.390502 0.809674
0.391043 0.809424
0.391583 0.809174
0.392123 0.808924
0.392663 0.808675
0.393204 0.808425
0.393744 0.808176
0.394284 0.807926
0.394824 0.807677
0.395364 0.807428
0.395904 0.807179
0.396444 0.80693
0.396983 0.806681
0.397523 0.806432
0.398063 0.806183
0.398603 0.805935
0.399142 0.805686
0.399682 0.805437
0.400221 0.805189
0.400761 0.804941
0.4013 0.804692
0.401839 0.804444
0.402379 0.804196
0.402918 0.803948
0.403457 0.8037
0.403996 0.803452
0.404536 0.803204
0.405075 0.802956
0.405614 0.802709
0.406153 0.802461
0.406691 0.802214
0.40723 0.801966
0.407769 0.801719
0.408308 0.801472
0.408847 0.801224
0.409385 0.800977
0.409924 0.80073
0.410462 0.800483
0.411001 0.800236
0.411539 0.79999
0.412078 0.799743
0.412616 0.799496
0.413155 0.79925
0.413693 0.799003
0.414231 0.798757
0.414769 0.798511
0.415307 0.798264
0.415845 0.798018
0.416383 0.797772
0.416921 0.797526
0.417459 0.79728
0.417997 0.797035
0.418535 0.796789
0.419073 0.796543
0.41961 0.796298
0.420148 0.796052
0.420686 0.795807
0.421223 0.795561
0.421761 0.795316
0.422298 0.795071
0.422836 0.794826
0.423373 0.794581
0.42391 0.794336
0.424448 0.794091
0.424985 0.793847
0.425522 0.793602
0.426059 0.793357
0.426596 0.793113
0.427133 0.792868
0.42767 0.792624
0.428207 0.79238
0.428744 0.792136
0.429281 0.791892
0.429818 0.791648
0.430354 0.791404
0.430891 0.79116
0.431428 0.790916
0.431964 0.790672
0.432501 0.790429
0.433037 0.790185
0.433574 0.789942
0.43411 0.789698
0.434646 0.789455
0.435182 0.789212
0.435719 0.788969
0.436255 0.788726
0.436791 0.788483
0.437327 0.78824
0.437863 0.787997
0.438399 0.787755
0.438935 0.787512
0.439471 0.78727
0.440007 0.787027
0.440542 0.786785
0.441078 0.786543
0.441614 0.786301
0.442149 0.786058
0.442685 0.785816
0.44322 0.785575
0.443756 0.785333
0.444291 0.785091
0.444827 0.784849
0.445362 0.784608
0.445897 0.784366
0.446432 0.784125
0.446968 0.783883
0.447503 0.783642
0.448038 0.783401
0.448573 0.78316
0.449108 0.782919
0.449643 0.782678
0.450178 0.782437
0.450712 0.782197
0.451247 0.781956
0.451782 0.781715
0.452317 0.781475
0.452851 0.781234
0.453386 0.780994
0.45392 0.780754
0.454455 0.780514
0.454989 0.780274
0.455524 0.780034
0.456058 0.779794
0.456592 0.779554
0.457126 0.779314
0.45766 0.779075
0.458195 0.778835
0.458729 0.778596
0.459263 0.778356
0.459797 0.778117
0.460331 0.777878
0.460864 0.777639
0.461398 0.7774
0.461932 0.777161
0.462466 0.776922
0.462999 0.776683
0.463533 0.776444
0.464067 0.776206
0.4646 0.775967
0.465134 0.775729
0.465667 0.775491
0.4662 0.775252
0.466734 0.775014
0.467267 0.774776
0.4678 0.774538
0.468333 0.7743
0.468866 0.774062
0.4694 0.773825
0.469933 0.773587
0.470466 0.773349
0.470998 0.773112
0.471531 0.772874
0.472064 0.772637
0.472597 0.7724
0.47313 0.772163
0.473662 0.771926
0.474195 0.771689
0.474727 0.771452
0.47526 0.771215
0.475792 0.770978
0.476325 0.770742
0.476857 0.770505
0.47739 0.770269
0.477922 0.770033
0.478454 0.769796
0.478986 0.76956
0.479518 0.769324
0.48005 0.769088
0.480582 0.768852
0.481114 0.768616
0.481646 0.768381
0.482178 0.768145
